Time,data
2133779846.4737904,0.2537402261742141
2133779846.5146825,0.21479762880397832
2133779846.5539155,0.21479762880397832
2133779846.5940132,0.20128685183836365
2133779846.6343343,0.20128685183836365
2133779846.6741762,0.1807088924476576
2133779846.7150643,0.14853084611153378
2133779846.7541912,0.056757184769227254
2133779846.7934725,0.04487305661880936
2133779846.8345346,0.020307809976271907
2133779846.8737373,0.03348443930784695
2133779846.9134045,0.03348443930784695
2133779846.9533422,-0.02070173003729986
2133779846.993645,-0.016135459670145874
2133779847.033361,-0.03172186517063516
2133779847.0741885,-0.07279967017802785
2133779847.1144567,-0.12904931873096057
2133779847.1535518,-0.1423646367101884
2133779847.193532,-0.16905640355245108
2133779847.2336268,-0.18974820328398267
2133779847.2740395,-0.18974820328398267
2133779847.313561,-0.24483220300105749
2133779847.355064,-0.36
2133779847.3937478,-0.36
2133779847.4329884,-0.36
2133779847.4761078,-0.36
2133779847.5134156,-0.36
2133779847.553226,-0.36
2133779847.5933187,-0.36
2133779847.634255,-0.36
2133779847.673865,-0.36
2133779847.7130408,-0.36
2133779847.7531528,-0.36
2133779847.794254,-0.36
2133779847.833369,-0.36
2133779847.8738317,-0.36
2133779847.9129605,-0.36
2133779847.9527652,-0.36
2133779847.9948788,-0.36
2133779848.0334947,-0.36
2133779848.073935,-0.36
2133779848.115053,-0.36
2133779848.1537495,-0.36
2133779848.1935496,-0.36
2133779848.233434,-0.36
2133779848.2739556,-0.36
2133779848.3139532,-0.36
2133779848.3536606,-0.36
2133779848.3944046,-0.36
2133779848.4334009,-0.36
2133779848.4735587,-0.36
2133779848.5142503,-0.36
2133779848.554352,-0.36
2133779848.5938876,-0.36
2133779848.635186,-0.36
2133779848.6734834,-0.36
2133779848.7143064,-0.36
2133779848.7542698,-0.36
2133779848.7941568,-0.3494972181320892
2133779848.8340805,-0.35537726284032456
2133779848.8735645,-0.3568951542298495
2133779848.913644,-0.3548711098809258
2133779848.9535868,-0.3540652458605498
2133779848.9948072,-0.3540652458605498
2133779849.033055,-0.34475789312802063
2133779849.073362,-0.31273546163054156
2133779849.1160965,-0.2891504522973573
